region,year,vino,birra,olio,lng,ltd
Italy,2015,48.6,14,212, 12.496126 , 41.901554 
Italy,2016,51.6,11,234, 12.496126 , 41.901554 
Italy,2017,43.8,15,222, 12.496126 , 41.901554 
Italy,2018,54.1,13,274, 12.496126 , 41.901554 
Italy,2019,46.6,12,265, 12.496126 , 41.901554 
France,2015,47.8,16,5.1, 2.349014 , 48.864716 
France,2016,44.4,17,5.6, 2.349014 , 48.864716 
France,2017,36.8,22,4.3, 2.349014 , 48.864716 
France,2018,49.5,19,6.2, 2.349014 , 48.864716 
France,2019,41.9,21,6.5, 2.349014 , 48.864716 
Spain,2015,37.2,27,1678,-3.70379 , 40.416775 
Spain,2016,38.8,29,1234,-3.70379 , 40.416775 
Spain,2017,33,32,1365,-3.70379 , 40.416775 
Spain,2018,44.9,34,1432,-3.70379 , 40.416775 
Spain,2019,34.3,38,1599,-3.70379 , 40.416775 
Germany,2015,8.9,94,0.8, 13.402328 , 52.501408 
Germany,2016,9,86,0.9, 13.402328 , 52.501408 
Germany,2017,7.5,92,0.7, 13.402328 , 52.501408 
Germany,2018,10.3,88,1.2, 13.402328 , 52.501408 
Germany,2019,9,77,1, 13.402328 , 52.501408 
